,bochang,xiangduiguangqiang
0,1548.8,0.009
1,1548.82929,0.00956
2,1548.85859,0.01011
3,1548.88788,0.01067
4,1548.91717,0.01131
5,1548.94646,0.01201
6,1548.97576,0.0127
7,1549.00505,0.01343
8,1549.03434,0.0143
9,1549.06364,0.01517
10,1549.09293,0.01605
11,1549.12222,0.01711
12,1549.15152,0.01822
13,1549.18081,0.01934
14,1549.2101,0.02057
15,1549.23939,0.02201
16,1549.26869,0.02345
17,1549.29798,0.02489
18,1549.32727,0.0266
19,1549.35657,0.02834
20,1549.38586,0.03007
21,1549.41515,0.03203
22,1549.44444,0.03419
23,1549.47374,0.03636
24,1549.50303,0.03859
25,1549.53232,0.04136
26,1549.56162,0.04412
27,1549.59091,0.04688
28,1549.6202,0.05012
29,1549.64949,0.05357
30,1549.67879,0.05701
31,1549.70808,0.06072
32,1549.73737,0.06512
33,1549.76667,0.06951
34,1549.79596,0.0739
35,1549.82525,0.07918
36,1549.85455,0.0846
37,1549.88384,0.09001
38,1549.91313,0.09606
39,1549.94242,0.10287
40,1549.97172,0.10968
41,1550.00101,0.11654
42,1550.0303,0.12477
43,1550.0596,0.13301
44,1550.08889,0.14125
45,1550.11818,0.1507
46,1550.14747,0.16088
47,1550.17677,0.17107
48,1550.20606,0.18171
49,1550.23535,0.19412
50,1550.26465,0.20653
51,1550.29394,0.21895
52,1550.32323,0.23293
53,1550.35253,0.24732
54,1550.38182,0.26171
55,1550.41111,0.27684
56,1550.4404,0.29316
57,1550.4697,0.30948
58,1550.49899,0.3258
59,1550.52828,0.34328
60,1550.55758,0.36081
61,1550.58687,0.37833
62,1550.61616,0.39635
63,1550.64545,0.41476
64,1550.67475,0.43318
65,1550.70404,0.45166
66,1550.73333,0.47052
67,1550.76263,0.48938
68,1550.79192,0.50825
69,1550.82121,0.52705
70,1550.85051,0.54583
71,1550.8798,0.56461
72,1550.90909,0.58312
73,1550.93838,0.60103
74,1550.96768,0.61894
75,1550.99697,0.63685
76,1551.02626,0.65308
77,1551.05556,0.66911
78,1551.08485,0.68513
79,1551.11414,0.69998
80,1551.14343,0.71356
81,1551.17273,0.72713
82,1551.20202,0.74056
83,1551.23131,0.75198
84,1551.26061,0.7634
85,1551.2899,0.77482
86,1551.31919,0.78468
87,1551.34848,0.79374
88,1551.37778,0.80279
89,1551.40707,0.81125
90,1551.43636,0.81783
91,1551.46566,0.82442
92,1551.49495,0.83101
93,1551.52424,0.83566
94,1551.55354,0.83991
95,1551.58283,0.84415
96,1551.61212,0.84762
97,1551.64141,0.84997
98,1551.67071,0.85232
99,1551.7,0.85467
